Text,Target,Category,Polarity
bu servise bu fiyatlar ise cok faZla.,fiyatlar,RESTAURANT#PRICES,negative
1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,fiyatlarinin,RESTAURANT#PRICES,negative
2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu:,çayı,DRINKS#PRICES,negative
) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,çay,DRINKS#PRICES,negative
"ancak hesap biraz abartılı geliyor, balık yemeden kişi başı 100 liradan fazla ödedik, itiraz etmek gerekir.",hesap,FOOD#PRICES,negative
"Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",bütçeyi,RESTAURANT#PRICES,positive
"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.",fiyat,FOOD#PRICES,negative
"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.",Fiyatlar,RESTAURANT#PRICES,neutral
Marmara ögrencilerine de indirimli fiyat uygulamasi var.,fiyat,RESTAURANT#PRICES,positive
O yüzden de bizim için avantajli oluyor.,NULL,RESTAURANT#PRICES,positive
Bu kadar ünlü olmasını reklama bağlıyorum çünkü çok daha iyi deniz ürünlerini daha uygun fiyatlarla yiyebileceğiniz bir sürü yer var İstanbul'da.,fiyatlarla,FOOD#PRICES,negative
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :",hesap,DRINKS#PRICES,negative
"Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",paraya,DRINKS#PRICES,negative
Yeşilköy şubesini bilemem ama burası standart üzerinde yine de o fiyatlar bence çok saçma.,fiyatlar,RESTAURANT#PRICES,negative
"Bira dışında başka bir şey içmenizi istemeyen mekan, bira 7,8 lira iken votka 25, şarap 17.5...",votka,DRINKS#PRICES,negative
"Bira dışında başka bir şey içmenizi istemeyen mekan, bira 7,8 lira iken votka 25, şarap 17.5...",şarap,DRINKS#PRICES,negative
Fiyatları makul.,Fiyatları,RESTAURANT#PRICES,positive
Bu et bu parayı asla hak etmiyor.,et,FOOD#PRICES,negative
"İçeriden ve dışarıdan tamamen bir dağ evini andırmasıyla egzotik bir havaya sahip olan mekanda servis nispeten hızlı, fiyatlar pahalı değil, bahçesi güzel.",fiyatlar,RESTAURANT#PRICES,positive
"Fiyatlar ise sunulan hizmet, kalite ve merkezi konumundan dolayi uygun sayilir.",Fiyatlar,RESTAURANT#PRICES,positive
Manzara disinda deneyimlenecek bir yemegi yok gereksiz pahali ve verdiginiz paraya asla degmeyen menusu var aslinda yok cunku cesit yok.,NULL,RESTAURANT#PRICES,negative
yukaridaki masaya ek olarak 3 bardak çay ve su dahil 42 tl ücret ödedik.,ücret,RESTAURANT#PRICES,neutral
kahvalti tabagi 17.90 tl menemen 10 tl patates 8 tl.,patates,FOOD#PRICES,neutral
kahvalti tabagi 17.90 tl menemen 10 tl patates 8 tl.,menemen,FOOD#PRICES,neutral
kahvalti tabagi 17.90 tl menemen 10 tl patates 8 tl.,kahvalti tabagi,FOOD#PRICES,neutral
Etine eyvallah fakat fiyat konusunda çok uçuklar.,fiyat,RESTAURANT#PRICES,negative
Fiyatlar gerçekten bir tık üstte ama manzara gözümü her defasında kör ediyor ve görmezden gelebiliyorum.,Fiyatlar,RESTAURANT#PRICES,negative
içecek çeşitliliği konusunda biraz yetersiz ancak fiyat olarak tartışmasız çevresine göre çok çok ucuz.,fiyat,RESTAURANT#PRICES,positive
